OC Num,Supplier Name,Supply Address,Supplier Address,Supplier Suburb/Town,Supplier Postcode,Product,Variant,Variant Weight - quant,Quantity,Reserve,Distributor,Delivery Address,Distributor address,Distributor Suburb/Town,Distributor postcode,Shipping instructions
OC5,Murrnong,"40 Murchison Road, Violet Town, VIC 3669",40 Murchison Road,Violet Town,3669,Grapefruit (per kg),,1,40,20,PepperTree Place (Coburg),"512 Sydney Road, Coburg, VIC 3058",512 Sydney Road,Coburg,3058,
OC5,Murrnong,"40 Murchison Road, Violet Town, VIC 3669",40 Murchison Road,Violet Town,3669,Lemons ,,1,1,1,PepperTree Place (Coburg),"519 Sydney Road, Coburg, VIC 3058",519 Sydney Road,Coburg,3058,
OC5,Old McDonald's Daughter,"20 Roderick Street, Taradale, VIC 3447",20 Roderick Street,Taradale,3447,Eggs,Dozens: 1 dozen,1,9,7,Ballantyne (Thornbury),"1/15 Ballantyne Street, Thornbury, VIC 3071",1/15 Ballantyne Street,Thornbury,3071,for Ballantyne
OC5,Old McDonald's Daughter,"20 Roderick Street, Taradale, VIC 3447",20 Roderick Street,Taradale,3447,Eggs,Dozens: 1 dozen,1,1,1,LO ,"16 Barkly Street, Brunswick East, VIC 3058",16 Barkly Street,Brunswick East,3058,
OC5,Old McDonald's Daughter,"20 Roderick Street, Taradale, VIC 3447",20 Roderick Street,Taradale,3447,Eggs,Dozens: 1 dozen,1,9,9,Murundaka (Heidelberg),"42 Bamfield Street, Heidelberg Heights, VIC 3081",42 Bamfield Street,Heidelberg Heights,3081,
OC5,Old McDonald's Daughter,"20 Roderick Street, Taradale, VIC 3447",20 Roderick Street,Taradale,3447,Eggs,Dozens: 1 dozen,2,3,3,Northcote Bulk Foods Coop :),"131 Separation Stree, Northcote, VIC 3070",131 Separation Stree,Northcote,3070,
OC5,Old McDonald's Daughter,"20 Roderick Street, Taradale, VIC 3447",20 Roderick Street,Taradale,3447,Eggs,Dozens: 1 dozen,1,3,3,PepperTree Place (Coburg),"512 Sydney Road, Coburg, VIC 3058",512 Sydney Road,Coburg,3058,
OC5,Old McDonald's Daughter,"20 Roderick Street, Taradale, VIC 3447",20 Roderick Street,Taradale,3447,Eggs,Dozens: 1 dozen,1,4,3.5,Westlake,"14 Hunter Street, Brusnwick West, VIC 3055",14 Hunter Street,Brusnwick West,3055,
OC5,Powlett Hill,"929 Lawrence/Glengower Rd, Campbelltown, VIC 3364",929 Lawrence/Glengower Rd,Campbelltown,3364,Rye (kg) - grain,,1,4,2.4,Northcote Bulk Foods Coop :),"131 Separation Stree, Northcote, VIC 3070",131 Separation Stree,Northcote,3070,
OC5,Powlett Hill,"929 Lawrence/Glengower Rd, Campbelltown, VIC 3364",929 Lawrence/Glengower Rd,Campbelltown,3364,Spelt pasta spirals (kg),,1,3,1.8,Northcote Bulk Foods Coop :),"131 Separation Stree, Northcote, VIC 3070",131 Separation Stree,Northcote,3070,
OC5,Randall Organic Rice,"Farm 1051, Murrami, VIC 2705",Farm 1051,Murrami,2705,Long grain brown rice (kg),,1,20,0,Northcote Bulk Foods Coop :),"131 Separation St, Northcote, VIC 3070",131 Separation St,Northcote,3070,
OC5,Robyn,"81 Warrenbayne Post Office Road, Badaginnie, VIC 3670",81 Warrenbayne Post Office Road,Badaginnie,3670,Oranges - Navel (per kg),,1,12,9.6,Ballantyne (Thornbury),"1/15 Ballantyne Street, Thornbury, VIC 3071",1/15 Ballantyne Street,Thornbury,3071,
OC5,Robyn,"81 Warrenbayne Post Office Road, Badaginnie, VIC 3670",81 Warrenbayne Post Office Road,Badaginnie,3670,Oranges - Navel (per kg),,1,16,16,Surrey Hills,"11 Thornton Avenue, Surrey Hills, VIC 3127",11 Thornton Avenue,Surrey Hills,3127,
OC5,Robyn,"81 Warrenbayne Post Office Road, Badaginnie, VIC 3670",81 Warrenbayne Post Office Road,Badaginnie,3670,Oranges - Navel (per kg),,1,15,4.5,LO ,"16 Barkly Street, Brunswick East, VIC 3058",16 Barkly Street,Brunswick East,3058,
OC5,Robyn,"81 Warrenbayne Post Office Road, Badaginnie, VIC 3670",81 Warrenbayne Post Office Road,Badaginnie,3670,Oranges - Navel (per kg),,1,2,1.6,Murrnong (Violet Town),"4446 Murchison Rd,  Violet Town , VIC 3669",4446 Murchison Rd, Violet Town ,3669,
OC5,Robyn,"81 Warrenbayne Post Office Road, Badaginnie, VIC 3670",81 Warrenbayne Post Office Road,Badaginnie,3670,Oranges - Navel (per kg),,1,32,25,Murundaka (Heidelberg),"42 Bamfield Street, Heidelberg Heights, VIC 3081",42 Bamfield Street,Heidelberg Heights,3081,
OC5,Robyn,"81 Warrenbayne Post Office Road, Badaginnie, VIC 3670",81 Warrenbayne Post Office Road,Badaginnie,3670,Oranges - Navel (per kg),,1,3,2.4,PepperTree Place (Coburg),"520 Sydney Road, Coburg, VIC 3058",520 Sydney Road,Coburg,3058,
OC5,Murrnong,"40 Murchison Road, Violet Town, VIC 3669",40 Murchison Road,Violet Town,3669,Fig Jam,,1,40,15,PepperTree Place (Coburg),"512 Sydney Road, Coburg, VIC 3058",512 Sydney Road,Coburg,3058,
OC5,Murrnong,"40 Murchison Road, Violet Town, VIC 3669",40 Murchison Road,Violet Town,3669,Fig Jam,,1,40,15,Ballantyne (Thornbury),"1/15 Ballantyne Street, Thornbury, VIC 3071",1/15 Ballantyne Street,Thornbury,3071,
